,iso3,loage,hiage,women,year
11500,ARE,90,94,0,2000
11501,ARE,95,99,0,2000
11503,ARE,15,19,128,2005
11504,ARE,20,24,153,2005
11505,ARE,25,29,182,2005
11506,ARE,30,34,162,2005
11507,ARE,35,39,116,2005
11508,ARE,40,44,85,2005
11509,ARE,45,49,55,2005
11510,ARE,50,54,30,2005
11511,ARE,55,59,18,2005
11512,ARE,60,64,9,2005
11513,ARE,65,69,6,2005
11514,ARE,70,74,5,2005
11515,ARE,75,79,2,2005
11516,ARE,80,84,2,2005
11520,ARE,80,NA,NA,2005
11517,ARE,85,89,1,2005
11518,ARE,90,94,0,2005
11519,ARE,95,99,0,2005
11521,ARE,15,19,158,2010
11522,ARE,20,24,228,2010
11523,ARE,25,29,303,2010
11524,ARE,30,34,284,2010
11525,ARE,35,39,226,2010
11526,ARE,40,44,156,2010
11527,ARE,45,49,99,2010
11528,ARE,50,54,52,2010
11529,ARE,55,59,27,2010
11530,ARE,60,64,16,2010
11531,ARE,65,69,7,2010
11532,ARE,70,74,5,2010
11533,ARE,75,79,4,2010
11534,ARE,80,84,2,2010
11538,ARE,80,NA,NA,2010
11535,ARE,85,89,1,2010
11536,ARE,90,94,0,2010
11537,ARE,95,99,0,2010
11539,ARE,15,19,160,2015
11540,ARE,20,24,185,2015
11541,ARE,25,29,282,2015
11542,ARE,30,34,343,2015
11543,ARE,35,39,301,2015
11544,ARE,40,44,227,2015
11545,ARE,45,49,149,2015
11546,ARE,50,54,93,2015
11547,ARE,55,59,48,2015
11548,ARE,60,64,24,2015
11549,ARE,65,69,14,2015
11550,ARE,70,74,6,2015
11551,ARE,75,79,4,2015
11552,ARE,80,84,3,2015
11556,ARE,80,NA,NA,2015
11553,ARE,85,89,1,2015
11554,ARE,90,94,0,2015
11555,ARE,95,99,0,2015
18577,ARG,15,19,1398,1990
18578,ARG,20,24,1239,1990
18579,ARG,25,29,1179,1990
18580,ARG,30,34,1130,1990
18581,ARG,35,39,1068,1990
18582,ARG,40,44,959,1990
18583,ARG,45,49,847,1990
18584,ARG,50,54,766,1990
18585,ARG,55,59,730,1990
18586,ARG,60,64,692,1990
18587,ARG,65,69,590,1990
18588,ARG,70,74,465,1990
18589,ARG,75,79,347,1990
18590,ARG,80,84,209,1990
18594,ARG,80,NA,NA,1990
