iso3,countryname,region,super_region,year,age_group,ever_had_sex
SOM,Somalia,Sub-Saharan,3,1991,35,0.9944801
SOM,Somalia,Sub-Saharan,3,1991,40,0.9964288
SOM,Somalia,Sub-Saharan,3,1991,45,0.9958529
SOM,Somalia,Sub-Saharan,3,1992,15,0.4275178
SOM,Somalia,Sub-Saharan,3,1992,20,0.8910179
SOM,Somalia,Sub-Saharan,3,1992,25,0.9765794
SOM,Somalia,Sub-Saharan,3,1992,30,0.9913106
SOM,Somalia,Sub-Saharan,3,1992,35,0.9946933
SOM,Somalia,Sub-Saharan,3,1992,40,0.9966143
SOM,Somalia,Sub-Saharan,3,1992,45,0.9960647
SOM,Somalia,Sub-Saharan,3,1993,15,0.427511
SOM,Somalia,Sub-Saharan,3,1993,20,0.8916229
SOM,Somalia,Sub-Saharan,3,1993,25,0.9771482
SOM,Somalia,Sub-Saharan,3,1993,30,0.9916468
SOM,Somalia,Sub-Saharan,3,1993,35,0.9949169
SOM,Somalia,Sub-Saharan,3,1993,40,0.9968115
SOM,Somalia,Sub-Saharan,3,1993,45,0.9962931
SOM,Somalia,Sub-Saharan,3,1994,15,0.4296573
SOM,Somalia,Sub-Saharan,3,1994,20,0.8933293
SOM,Somalia,Sub-Saharan,3,1994,25,0.9780371
SOM,Somalia,Sub-Saharan,3,1994,30,0.9921076
SOM,Somalia,Sub-Saharan,3,1994,35,0.9952186
SOM,Somalia,Sub-Saharan,3,1994,40,0.9970629
SOM,Somalia,Sub-Saharan,3,1994,45,0.99658
SOM,Somalia,Sub-Saharan,3,1995,15,0.4317065
SOM,Somalia,Sub-Saharan,3,1995,20,0.895083
SOM,Somalia,Sub-Saharan,3,1995,25,0.9789687
SOM,Somalia,Sub-Saharan,3,1995,30,0.9925991
SOM,Somalia,Sub-Saharan,3,1995,35,0.9955402
SOM,Somalia,Sub-Saharan,3,1995,40,0.9973295
SOM,Somalia,Sub-Saharan,3,1995,45,0.9968851
SOM,Somalia,Sub-Saharan,3,1996,15,0.432449
SOM,Somalia,Sub-Saharan,3,1996,20,0.896921
SOM,Somalia,Sub-Saharan,3,1996,25,0.9800069
SOM,Somalia,Sub-Saharan,3,1996,30,0.993219
SOM,Somalia,Sub-Saharan,3,1996,35,0.995943
SOM,Somalia,Sub-Saharan,3,1996,40,0.9976377
SOM,Somalia,Sub-Saharan,3,1996,45,0.9971789
SOM,Somalia,Sub-Saharan,3,1997,15,0.4336869
SOM,Somalia,Sub-Saharan,3,1997,20,0.8988476
SOM,Somalia,Sub-Saharan,3,1997,25,0.9809385
SOM,Somalia,Sub-Saharan,3,1997,30,0.993718
SOM,Somalia,Sub-Saharan,3,1997,35,0.9962688
SOM,Somalia,Sub-Saharan,3,1997,40,0.997866
SOM,Somalia,Sub-Saharan,3,1997,45,0.9973948
SOM,Somalia,Sub-Saharan,3,1998,15,0.4347622
SOM,Somalia,Sub-Saharan,3,1998,20,0.9006131
SOM,Somalia,Sub-Saharan,3,1998,25,0.9817013
SOM,Somalia,Sub-Saharan,3,1998,30,0.9941037
SOM,Somalia,Sub-Saharan,3,1998,35,0.9965206
SOM,Somalia,Sub-Saharan,3,1998,40,0.9980316
SOM,Somalia,Sub-Saharan,3,1998,45,0.9975502
SOM,Somalia,Sub-Saharan,3,1999,15,0.4355085
SOM,Somalia,Sub-Saharan,3,1999,20,0.9021349
SOM,Somalia,Sub-Saharan,3,1999,25,0.9823134
SOM,Somalia,Sub-Saharan,3,1999,30,0.9944009
SOM,Somalia,Sub-Saharan,3,1999,35,0.9967133
SOM,Somalia,Sub-Saharan,3,1999,40,0.9981537
SOM,Somalia,Sub-Saharan,3,1999,45,0.9976628
SOM,Somalia,Sub-Saharan,3,2000,15,0.4354004
SOM,Somalia,Sub-Saharan,3,2000,20,0.9032936
SOM,Somalia,Sub-Saharan,3,2000,25,0.9828132
SOM,Somalia,Sub-Saharan,3,2000,30,0.9946324
SOM,Somalia,Sub-Saharan,3,2000,35,0.9968618
SOM,Somalia,Sub-Saharan,3,2000,40,0.9982455
SOM,Somalia,Sub-Saharan,3,2000,45,0.9977472
SOM,Somalia,Sub-Saharan,3,2001,15,0.4350204
SOM,Somalia,Sub-Saharan,3,2001,20,0.9041591
SOM,Somalia,Sub-Saharan,3,2001,25,0.9831986
SOM,Somalia,Sub-Saharan,3,2001,30,0.9948136
SOM,Somalia,Sub-Saharan,3,2001,35,0.9969738
SOM,Somalia,Sub-Saharan,3,2001,40,0.998313
SOM,Somalia,Sub-Saharan,3,2001,45,0.9978094
SOM,Somalia,Sub-Saharan,3,2002,15,0.434297
SOM,Somalia,Sub-Saharan,3,2002,20,0.9046667
SOM,Somalia,Sub-Saharan,3,2002,25,0.9834772
SOM,Somalia,Sub-Saharan,3,2002,30,0.9949477
SOM,Somalia,Sub-Saharan,3,2002,35,0.9970551
SOM,Somalia,Sub-Saharan,3,2002,40,0.9983628
SOM,Somalia,Sub-Saharan,3,2002,45,0.9978535
SOM,Somalia,Sub-Saharan,3,2003,15,0.4334197
SOM,Somalia,Sub-Saharan,3,2003,20,0.9049674
SOM,Somalia,Sub-Saharan,3,2003,25,0.9836801
SOM,Somalia,Sub-Saharan,3,2003,30,0.9950494
SOM,Somalia,Sub-Saharan,3,2003,35,0.997119
SOM,Somalia,Sub-Saharan,3,2003,40,0.9984006
SOM,Somalia,Sub-Saharan,3,2003,45,0.9978861
SOM,Somalia,Sub-Saharan,3,2004,15,0.4322084
SOM,Somalia,Sub-Saharan,3,2004,20,0.9049766
SOM,Somalia,Sub-Saharan,3,2004,25,0.9838332
SOM,Somalia,Sub-Saharan,3,2004,30,0.9951228
SOM,Somalia,Sub-Saharan,3,2004,35,0.9971656
SOM,Somalia,Sub-Saharan,3,2004,40,0.9984293
SOM,Somalia,Sub-Saharan,3,2004,45,0.9979076
SOM,Somalia,Sub-Saharan,3,2005,15,0.4309638
SOM,Somalia,Sub-Saharan,3,2005,20,0.9049111
SOM,Somalia,Sub-Saharan,3,2005,25,0.9839542
SOM,Somalia,Sub-Saharan,3,2005,30,0.9951818
SOM,Somalia,Sub-Saharan,3,2005,35,0.997203
SOM,Somalia,Sub-Saharan,3,2005,40,0.9984513
